date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:59	1667/1667	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Jul%202013%2014:16:50%20GMT	http://m.naver.com/robots.txt		(from )
17:15:59	56725/56725	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202014%2008:15:59%20GMT	http://m.naver.com/	E:/m_naver/mobile_naver/m.naver.com/index.html	(from )
17:15:59	96917/96917	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202013%2007:47:03%20GMT	http://s.nm.naver.net/css/w_20131224.css	E:/m_naver/mobile_naver/s.nm.naver.net/css/w_20131224.css	(from http://m.naver.com/)
17:16:00	100194/100194	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Dec%202013%2006:32:44%20GMT	http://s.nm.naver.net/css/w_card_20131231.css	E:/m_naver/mobile_naver/s.nm.naver.net/css/w_card_20131231.css	(from http://m.naver.com/)
17:16:01	651/651	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Oct%202013%2016:37:55%20GMT	http://s.nm.naver.net/css/e_20131011.css	E:/m_naver/mobile_naver/s.nm.naver.net/css/e_20131011.css	(from http://m.naver.com/)
17:16:02	14467/14467	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20Dec%202013%2005:42:57%20GMT	http://s.nm.naver.net/js/c/naver_common_20131210.min.js	E:/m_naver/mobile_naver/s.nm.naver.net/js/c/naver_common_20131210.min.js	(from http://m.naver.com/)
17:16:02	302/302	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Nov%202012%2010:54:57%20GMT	http://static.naver.net/www/m/guide/dummy_1X1.jpg	E:/m_naver/mobile_naver/static.naver.net/www/m/guide/dummy_1X1.jpg	(from http://m.naver.com/)
17:16:02	4953/4953	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202013%2010:22:19%20GMT	http://static.naver.net/www/mobile/edit/2013/1230/mobile_192219199183.png	E:/m_naver/mobile_naver/static.naver.net/www/mobile/edit/2013/1230/mobile_192219199183.png	(from http://m.naver.com/)
17:16:03	8183/8183	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202014%2008:16:02%20GMT	http://m.naver.com/notice.html	E:/m_naver/mobile_naver/m.naver.com/notice.html	(from http://m.naver.com/)
17:16:03	77491/77491	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202014%2008:16:03%20GMT	http://m.naver.com/services.html	E:/m_naver/mobile_naver/m.naver.com/services.html	(from http://m.naver.com/)
17:16:03	2/2	---M--	200	added ('OK')	application/javascript	date:Tue,%2003%20Dec%202013%2006:38:23%20GMT	http://m.naver.com/js/log_clt.js	E:/m_naver/mobile_naver/m.naver.com/js/log_clt.js	(from http://m.naver.com/)
17:16:03	3196/3196	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Jul%202013%2014:16:50%20GMT	http://m.naver.com/GET	E:/m_naver/mobile_naver/m.naver.com/GET.b.delayed	(from http://m.naver.com/)
17:16:06	38343/38343	---M-Z	200	added ('OK')	application/javascript	etag:%2295c7-77ea2140%22	http://adcreative.naver.com/ad3/js/min/da.mobile.min.js?20131030	E:/m_naver/mobile_naver/adcreative.naver.com/ad3/js/min/da.mobile.min8b63.js	(from http://m.naver.com/)
17:16:09	71865/71865	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Dec%202013%2006:13:14%20GMT	http://static.naver.net/www/mobile/edit/2013/1223/mobile_151314501425.jpg	E:/m_naver/mobile_naver/static.naver.net/www/mobile/edit/2013/1223/mobile_151314501425.jpg	(from http://m.naver.com/)
17:16:19	180589/180589	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Dec%202013%2006:13:24%20GMT	http://static.naver.net/www/mobile/edit/2013/1223/mobile_15132429944.jpg	E:/m_naver/mobile_naver/static.naver.net/www/mobile/edit/2013/1223/mobile_15132429944.jpg	(from http://m.naver.com/)
17:16:32	493168/493168	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2005:45:06%20GMT	http://m.naver.com/js/c/main_20131224.min.js	E:/m_naver/mobile_naver/m.naver.com/js/c/main_20131224.min.js	(from http://m.naver.com/)
